set_num,name,year,theme_id,num_parts,theme_name,decade,decade_label,complexity,era
10105-1,Classic Town Square,2010,67,1,Classic,2010,2010s,Simple,Contemporary (2010+)
10106-1,Imperial Star Destroyer,2010,18,3104,Star Wars,2010,2010s,Expert,Contemporary (2010+)
10107-1,Saturn V,2017,9,1969,Creator,2010,2010s,Expert,Contemporary (2010+)
10108-1,The Empire Strikes Back,2007,18,1,Star Wars,2000,2000s,Simple,2000s Expansion
10109-1,Open-Ended Basic Bucket,2010,1,200,Technic,2010,2010s,Standard,Contemporary (2010+)
10110-1,Emmet'S House,2014,29,357,The Lego Movie,2010,2010s,Advanced,Contemporary (2010+)
10111-1,City Centre,2000,67,1,Classic,2000,2000s,Simple,2000s Expansion
10112-1,Imperial At-St,2001,18,422,Star Wars,2000,2000s,Advanced,2000s Expansion
10113-1,Brick Box,2000,1,100,Technic,2000,2000s,Standard,2000s Expansion
10114-1,Checkpoint,2001,67,1,Classic,2000,2000s,Simple,2000s Expansion
10115-1,Basic Set,2000,1,116,Technic,2000,2000s,Standard,2000s Expansion
10116-1,Mindstorms Expansion Set,2000,48,1,Mindstorms,2000,2000s,Simple,2000s Expansion
10117-1,Technic Set,2000,3,1,Technic,2000,2000s,Simple,2000s Expansion
10118-1,Lego Dacta,2000,17,1,Dacta,2000,2000s,Simple,2000s Expansion
10119-1,City Train Station,2003,9,696,Creator,2000,2000s,Advanced,2000s Expansion
10120-1,Rebel Blockade Runner,2001,18,1748,Star Wars,2000,2000s,Expert,2000s Expansion
10121-1,Super Star Destroyer,2002,18,3104,Star Wars,2000,2000s,Expert,2000s Expansion
10122-1,Mos Eisley Cantina,2003,18,193,Star Wars,2000,2000s,Standard,2000s Expansion
10123-1,Cloud City,2003,18,698,Star Wars,2000,2000s,Advanced,2000s Expansion
10124-1,Wright Flyer,2003,9,585,Creator,2000,2000s,Advanced,2000s Expansion
10125-1,Luke Skywalker'S Landspeeder,2004,18,393,Star Wars,2000,2000s,Advanced,2000s Expansion
10126-1,Ewok Village,2013,18,1990,Star Wars,2010,2010s,Expert,Contemporary (2010+)
10127-1,Imperial Star Destroyer,2001,18,3104,Star Wars,2000,2000s,Expert,2000s Expansion
10128-1,Pirate Ship,2001,67,1,Classic,2000,2000s,Simple,2000s Expansion
10129-1,Rebel Snowspeeder,2003,18,1457,Star Wars,2000,2000s,Expert,2000s Expansion
10130-1,Millennium Falcon,2002,18,5195,Star Wars,2000,2000s,Expert,2000s Expansion
10131-1,Tie Fighter Collection,2004,18,703,Star Wars,2000,2000s,Advanced,2000s Expansion
10132-1,Motorized Hogwarts Express,2004,45,708,Harry Potter,2000,2000s,Advanced,2000s Expansion
10133-1,Basketball,2004,9,1,Creator,2000,2000s,Simple,2000s Expansion
10134-1,Y-Wing Attack Starfighter,2004,18,1473,Star Wars,2000,2000s,Expert,2000s Expansion
10135-1,Technic Power Functions,2005,3,1,Technic,2000,2000s,Simple,2000s Expansion
10136-1,Super Star Destroyer,2005,18,3104,Star Wars,2000,2000s,Expert,2000s Expansion
10137-1,Bionicle Set,2005,67,1,Classic,2000,2000s,Simple,2000s Expansion
10138-1,R2-D2 And C-3Po,2002,18,659,Star Wars,2000,2000s,Advanced,2000s Expansion
10139-1,Ewok Attack,2002,18,241,Star Wars,2000,2000s,Standard,2000s Expansion
10140-1,Ultimate Collector'S Millennium Falcon,2007,18,5195,Star Wars,2000,2000s,Expert,2000s Expansion
10141-1,Trade Federation Mtt,2004,18,769,Star Wars,2000,2000s,Advanced,2000s Expansion
10142-1,Hogwarts Express,2004,45,708,Harry Potter,2000,2000s,Advanced,2000s Expansion
10143-1,Death Star Ii,2005,18,3441,Star Wars,2000,2000s,Expert,2000s Expansion
10144-1,Sandcrawler,2005,18,1669,Star Wars,2000,2000s,Expert,2000s Expansion
10145-1,Motorized Walking At-At,2010,18,1137,Star Wars,2010,2010s,Expert,Contemporary (2010+)
10146-1,Pitts S-2B Special,2002,9,399,Creator,2000,2000s,Advanced,2000s Expansion
10147-1,Duel On Mustafar,2005,18,158,Star Wars,2000,2000s,Standard,2000s Expansion
10148-1,Braille Bricks,2020,1,0,Technic,2020,2020s,Unknown,Contemporary (2010+)
10149-1,Slave I,2006,18,537,Star Wars,2000,2000s,Advanced,2000s Expansion
10150-1,Racers,2002,67,1,Classic,2000,2000s,Simple,2000s Expansion
10151-1,Darth Vader Transformation,2006,18,313,Star Wars,2000,2000s,Advanced,2000s Expansion
10152-1,City,2002,67,1,Classic,2000,2000s,Simple,2000s Expansion
10153-1,Hogwarts Express Motor Set,2004,45,8,Harry Potter,2000,2000s,Simple,2000s Expansion
10154-1,Trash Compactor Monster,2006,18,225,Star Wars,2000,2000s,Standard,2000s Expansion
10155-1,Lego Brand Set,2005,67,1,Classic,2000,2000s,Simple,2000s Expansion
10156-1,Lego Brand Store,2012,67,0,Classic,2010,2010s,Unknown,Contemporary (2010+)
10157-1,Technic Race Buggy,2006,3,1,Technic,2000,2000s,Simple,2000s Expansion
10158-1,City Bus,2006,67,1,Classic,2000,2000s,Simple,2000s Expansion
10159-1,City Airport,2004,67,0,Classic,2000,2000s,Unknown,2000s Expansion
10160-1,Coastal Police Station,2003,67,1,Classic,2000,2000s,Simple,2000s Expansion
10161-1,Stormtrooper,2005,18,356,Star Wars,2000,2000s,Advanced,2000s Expansion
10162-1,City Garage,2006,67,0,Classic,2000,2000s,Unknown,2000s Expansion
10163-1,Technic Super Car,2002,3,1281,Technic,2000,2000s,Expert,2000s Expansion
10164-1,City Hospital,2006,67,0,Classic,2000,2000s,Unknown,2000s Expansion
10165-1,City Police,2006,67,1,Classic,2000,2000s,Simple,2000s Expansion
10166-1,City Fire,2006,67,1,Classic,2000,2000s,Simple,2000s Expansion
10167-1,City Train,2007,9,1,Creator,2000,2000s,Simple,2000s Expansion
10168-1,City Racing,2007,67,1,Classic,2000,2000s,Simple,2000s Expansion
10169-1,Harry Potter Hogwarts,2007,45,1,Harry Potter,2000,2000s,Simple,2000s Expansion
10170-1,Ttx Intermodal Double-Stack Car,2006,9,287,Creator,2000,2000s,Standard,2000s Expansion
10171-1,Imperial Star Destroyer Collectors Set,2006,18,1,Star Wars,2000,2000s,Simple,2000s Expansion
10172-1,Boeing 787 Dreamliner,2006,9,1197,Creator,2000,2000s,Expert,2000s Expansion
10173-1,Holiday Train,2006,9,685,Creator,2000,2000s,Advanced,2000s Expansion
10174-1,Imperial At-St,2006,18,422,Star Wars,2000,2000s,Advanced,2000s Expansion
10175-1,Vader'S Tie Advanced,2006,18,1212,Star Wars,2000,2000s,Expert,2000s Expansion
10176-1,Mindstorms Expansion Set,2006,48,1,Mindstorms,2000,2000s,Simple,2000s Expansion
10177-1,Boeing 787 Dreamliner,2007,9,1197,Creator,2000,2000s,Expert,2000s Expansion
10178-1,Motorized Walking At-At,2007,18,1137,Star Wars,2000,2000s,Expert,2000s Expansion
10179-1,Ultimate Collector'S Millennium Falcon,2007,18,5195,Star Wars,2000,2000s,Expert,2000s Expansion
10180-1,Technic Motorized Bulldozer,2007,3,1384,Technic,2000,2000s,Expert,2000s Expansion
10181-1,Eiffel Tower,2007,9,3428,Creator,2000,2000s,Expert,2000s Expansion
10182-1,Café Corner,2007,67,2056,Classic,2000,2000s,Expert,2000s Expansion
10183-1,Hobby Train,2007,9,694,Creator,2000,2000s,Advanced,2000s Expansion
10184-1,Town Plan,2008,67,1498,Classic,2000,2000s,Expert,2000s Expansion
10185-1,Green Grocer,2008,67,2352,Classic,2000,2000s,Expert,2000s Expansion
10186-1,General Grievous,2008,18,1085,Star Wars,2000,2000s,Expert,2000s Expansion
10187-1,Volkswagen Beetle,2008,9,1626,Creator,2000,2000s,Expert,2000s Expansion
10188-1,Death Star,2008,18,3803,Star Wars,2000,2000s,Expert,2000s Expansion
10189-1,Taj Mahal,2008,9,5922,Creator,2000,2000s,Expert,2000s Expansion
10190-1,Market Street,2007,67,1248,Classic,2000,2000s,Expert,2000s Expansion
10191-1,Star Justice,2008,18,1,Star Wars,2000,2000s,Simple,2000s Expansion
10192-1,Space Skulls,2008,18,1,Star Wars,2000,2000s,Simple,2000s Expansion
10193-1,Medieval Market Village,2009,8,1601,Castle,2000,2000s,Expert,2000s Expansion
10194-1,Emerald Night,2009,9,1085,Creator,2000,2000s,Expert,2000s Expansion
10195-1,Republic Dropship With At-Ot Walker,2009,18,1759,Star Wars,2000,2000s,Expert,2000s Expansion
10196-1,Grand Carousel,2009,67,3263,Classic,2000,2000s,Expert,2000s Expansion
10197-1,Fire Brigade,2009,67,2231,Classic,2000,2000s,Expert,2000s Expansion
10198-1,Tantive Iv,2009,18,1408,Star Wars,2000,2000s,Expert,2000s Expansion
10199-1,Winter Village Toy Shop,2009,67,815,Classic,2000,2000s,Advanced,2000s Expansion
10200-1,Custom Car Garage,2009,67,1,Classic,2000,2000s,Simple,2000s Expansion
